"dbpedia_uri";"yago_uri"
"http://dbpedia.org/ontology/Actor";"http://dbpedia.org/class/yago/Actor109765278"
"http://dbpedia.org/ontology/Aircraft";"http://dbpedia.org/class/yago/Aircraft102686568"
"http://dbpedia.org/ontology/Airline";"http://dbpedia.org/class/yago/Airline102690081"
"http://dbpedia.org/ontology/Airport";"http://dbpedia.org/class/yago/Airport102692232"
"http://dbpedia.org/ontology/Album";"http://dbpedia.org/class/yago/Album106591815"
"http://dbpedia.org/ontology/Ambassador";"http://dbpedia.org/class/yago/Ambassador109787534"
"http://dbpedia.org/ontology/AmericanFootballLeague";"http://dbpedia.org/class/yago/AmericanFootballLeaguesInTheUnitedStates"
"http://dbpedia.org/ontology/AmericanFootballTeam";"http://dbpedia.org/class/yago/NationalFootballLeagueTeams"
"http://dbpedia.org/ontology/Amphibian";"http://dbpedia.org/class/yago/Amphibian102704792"
"http://dbpedia.org/ontology/AnatomicalStructure";"http://dbpedia.org/class/yago/BodyPart105220461"
"http://dbpedia.org/ontology/Animal";"http://dbpedia.org/class/yago/Animal100015388"
"http://dbpedia.org/ontology/Arachnid";"http://dbpedia.org/class/yago/Arachnid101769347"
"http://dbpedia.org/ontology/Archaea";"http://dbpedia.org/class/yago/ArchaeaGenera"
"http://dbpedia.org/ontology/Architect";"http://dbpedia.org/class/yago/Architect109805475"
"http://dbpedia.org/ontology/Artery";"http://dbpedia.org/class/yago/Artery105333777"
"http://dbpedia.org/ontology/Artist";"http://dbpedia.org/class/yago/Artist109812338"
"http://dbpedia.org/ontology/Astronaut";"http://dbpedia.org/class/yago/Astronaut109818022"
"http://dbpedia.org/ontology/Athlete";"http://dbpedia.org/class/yago/Athlete109820263"
"http://dbpedia.org/ontology/AustralianFootballLeague";"http://dbpedia.org/class/yago/AustralianRulesFootballLeaguesInCanada"
"http://dbpedia.org/ontology/Automobile";"http://dbpedia.org/class/yago/Car102958343"
"http://dbpedia.org/ontology/AutomobileEngine";"http://dbpedia.org/class/yago/Engine103287733"
"http://dbpedia.org/ontology/Award";"http://dbpedia.org/class/yago/Award106696483"
"http://dbpedia.org/ontology/Bacteria";"http://dbpedia.org/class/yago/BacteriaGenera"
"http://dbpedia.org/ontology/Band";"http://dbpedia.org/class/yago/MusicalOrganization108246613"
"http://dbpedia.org/ontology/BaseballLeague";"http://dbpedia.org/class/yago/BaseballLeague108231874"
"http://dbpedia.org/ontology/BaseballPlayer";"http://dbpedia.org/class/yago/Ballplayer109835506"
"http://dbpedia.org/ontology/BasketballLeague";"http://dbpedia.org/class/yago/BasketballLeague108232299"
"http://dbpedia.org/ontology/BasketballTeam";"http://dbpedia.org/class/yago/BasketballTeam108079852"
"http://dbpedia.org/ontology/Beverage";"http://dbpedia.org/class/yago/Beverage107881800"
"http://dbpedia.org/ontology/Bird";"http://dbpedia.org/class/yago/Bird101503061"
